Title,Date,Abstract,Publisher,Securities Act,Exchange Act,Digital Assets
Payments and the Evolution of Stablecoins and CBDCs in the Global Economy,4/24/2023,"The U.S. payments system has proven to be vibrant, adaptable, and innovative. And yet, it has also revealed areas in need of urgent improvement. Lower-income households and communities of color continue to struggle to access the full suite of benefits available within a rapidly digitizing payments system. The underlying payments infrastructure required to move money from one bank account to another is often slow and costly. And the international payment system imposes transaction costs and delays for cross-border money transmission, increasing pressure on the continuing capacity of the US dollar to maintain monetary preeminence in global trade.",Vanderbilt Law Research Paper,0,0,1
Crypto-Enforcement Around the World,12/2/2020,"The blockchain revolution in capital and financial markets attracted the attention of enforcement agencies in many jurisdictions. This Article elaborates the results of an international enforcement survey of the Blockchain and Fintech Research Program of the Rutgers Center for Corporate Law and Governance. It provides a detailed analysis of enforcement in major crypto-market jurisdictions. The data suggest that, despite an extended network of agreements facilitating international cooperation, the United States Securities and Exchange Commission (“SEC”) maintains its historically active enforcement posture. The SEC brings more enforcement actions against cryptoasset issuers, broker-dealers, crypto-exchanges, and other digital-asset market participants than most other major crypto-jurisdictions, as well as the United States Commodity Futures Trading Commission. SEC enforcement results in considerably more serious penalties.",Southern California Law Review Postscript,1,1,1
A Comprehensive Approach to Crypto Regulation,10/19/2022,"Regulation of cryptocurrency is a key policymaking issue of our time. There are many challenges associated with developing and applying legal frameworks to cryptocurrency, as the technology, business practices, and uses of cryptocurrency vary significantly from traditional financial services. Moreover, the ecosystem exhibits a rapid speed of innovation and very high level of complexity. Nevertheless, regulating cryptocurrency, particularly as it relates to users, is essential to achieve sufficient investor and consumer protection, as well as to provide the clarity that innovators need to build their businesses.",The University of Pennsylvania Journal of Business Law,0,1,1
Imperfect Digital Certificates of Provenance - A Categorical Risk-Based Approach to Non-Fungible Tokens (NFTs),4/19/2022,"Non-fungible tokens (“NFTs”) are an emerging digital asset that has captured global attention with multi-million-dollar price tags for seemingly basic pixelated JPEG files. In March 2021, British auction house Christie’s sold a digital artwork, ‘Everydays: The First 5,000 Days’, by artist Mike Winkelmann (“Beeple”) for the Ether equivalent of $69.3 million, making it the third-most expensive artwork by a living artist.1 Beeple’s sale was by no means alone—Sotheby's sold an NFT collection of 101 ‘Bored Apes’ for $24.4 million;2 CryptoPunk #7804, one of 10,000 unique ‘CryptoPunk’ NFTs sold for $7.56 million,3 and Twitter founder Jack Dorsey’s first-ever tweet sold for $2.9 million as an NFT.4 NFT sales in the first-half of 2021 have already exceeded $2.5 billion,5 and, as of October 2021, the total value of NFTs on the Ethereum blockchain is estimated to be at least $14.3 billion.6 On one hand, NFTs may be poised to revolutionize creative industries and drastically alter consumer interaction with digital media.7 On the other hand, the NFT market is simultaneously both ripe for speculative investment and vulnerable to criminal activity.8 To date, there appears to be no consensus on the regulation of NFTs, neither from the perspective of generally applicable laws, regulatory capture under existing financial market regulation, nor the implementation of new digital asset laws. This paper attempts to highlight several pertinent dangers of NFTs, from a profound misunderstanding of what an NFT transaction entails, their bubble-like pricing, to various criminal activity concerns. By illustrating how existing laws and regulations may not fully capture nor address these dangers, as well as the potential oversight of NFTs in newly proposed digital asset laws, this paper proposes a categorial approach to regulating NFTs, by reducing the current (and likely future) use-cases of NFTs to their constituent categories and in turn, suggesting the most appropriate regulatory approach to each. Ultimately, given the (potential) wide-ranging use-cases of NFTs, this paper proposes that the NFT’s intended use-case described in broad categorical terms, or more aptly, its underlying reference asset and simultaneous conveyance, or lack thereof, should dictate the regulatory approach.",Colorado Technology Law Journal,1,1,1
When the Means Undermine the End: the Leviathan of Securities Law and Enforcement in Digital-Asset Markets,9/11/2021,"The focus of this Article is the Securities and Exchange Commission (“SEC”), the major capital-market watchdog. Created in the wake of the Great Depression, the SEC pursues a ternary set of objectives, including protecting investors, maintaining efficient markets, and facilitating capital formation. This Article examines a fundamental disconnect between the objectives of the SEC and the actual outcome of its policies in digital-asset markets—the agency’s enforcement efforts under the mantra of protecting investors and providing digital-asset markets with more information have produced an environment with less information. This disconnect between the SEC’s means and ends is relevant not only to cryptoasset investors but also to other purchasers such as consumers and users.",The Stanford Journal of Blockchain Law & Policy,1,1,1
When Does a Nonfungible Token (NFT) Become a Security?,3/12/2022,"Non-fungible tokens (NFTs) gained prominence in the news cycle during March 2021when $69 million was paid in a cryptocurrency known as ether for a single piece of unique digital art titled “Everydays – The First 5000 Days.” Regulation of NFTs is complicated by the fact that the technology encompasses so many varied applications. Therefore, it is the particular use of a given NFT that will determine its appropriate regulatory regime, since it may take the form of a collectible, data associated with a physical item, financial instrument, or a permanent record associated with a person, such as marriage license, or property deed. Just as in the case of digital art in the form of NFTs, our laws and regulations are in a constant struggle to keep pace with rapid introduction and diffusion of technological changes. Unlike digital or cryptocurrencies which are fungible, NFTs are not. The effective regulation of U.S. securities markets has a significant impact on capital formation, job creation, economic security, and growth of both the American and global economies. In recent years, the advent of the Internet has created novel regulatory challenges for the SEC.",Georgia State University Law Review,1,1,1
Embedded Supervision: How to Build Regulation into Decentralised Finance,6/8/2022,"The emergence of so-called “decentralised finance” (DeFi) and a shadow financial system of cryptocurrency exchanges and stablecoin issuers raises the challenge of how to apply technology-neutral regulation so that similar risks are subject to the same rules. This paper makes the case for embedded supervision, ie a regulatory framework that provides for compliance in decentralised markets to be automatically monitored by reading the market’s ledger. This reduces the need for firms to actively collect, verify and deliver data. The paper explores the conditions under which distributed ledger data may be used to monitor compliance. To this end, a decentralised market is modelled that replaces today’s intermediary-based verification of legal data with blockchain-enabled credibility based on economic consensus. The key results set out the conditions under which the market’s economic consensus would be strong enough to guarantee that transactions are economically final, so that supervisors can trust the distributed ledger’s data. The paper concludes with a discussion of the legislative and operational requirements that would promote low-cost supervision and a level playing field for small and large firms.",CESifo Working Paper,0,0,1
"South Cherry Street, LLC v. Hennessee Group LLC: Investors' Desperate Plea for Second Circuit Standards",11/30/2012,"In South Cherry Street, LLC v. Hennessee Group LLC, the United States Court of Appeals for the Second Circuit considered whether South Cherry Street, an investment fund, could bring a securities fraud claim against its investment adviser, Hennessee Group, for recommending that the fund invest in a Ponzi scheme. The Second Circuit dismissed South Cherry Street’s securities fraud claim because South Cherry Street failed to plead sufficient facts to meet the scienter requirement. The Court erred in finding that South Cherry Street did not meet the scienter requirements promulgated under Rule 10b-5 or the Second Circuit because Hennessee Group’s failure of duty to monitor established scienter. Despite the Court’s failure to find scienter, the Second Circuit Court of Appeals enunciated the right standard, which should be followed by other circuits because it strikes the appropriate balance between deterring fraud and preventing illegitimate claims.",Journal of Business & Technology Law,1,1,0
Cryptosecurity: An Analysis of Cryptocurrency Security and Securities,7/14/2021,"This Essay makes three contributions to the blockchain and law literature. First, this Essay explores technical security aspects evolving with various governance mechanisms across blockchain networks. Next, this Essay analyzes digital assets under U.S. securities laws and executive enforcement policies, in light of several new developments at the U.S. Securities Exchange Commission. Third, this Essay crystalizes cryptocurrency compliance toward an autonomous governance system, introducing a new algorithm for compliance automation.",Tulane Journal of Technology & Intellectual Property,1,1,1
What Constitutes a Security and Requirements Relating to the Offer and Sales of Securities and Exemptions From Registration Associated Therewith,4/27/2017,"Compliance with the rules and regulations for the offer and sale of securities is complicated; each and every transaction is required to either be (a) registered with the SEC; or (b) exempt from registration under the Securities Act. As such, a competent securities attorney should always be contacted prior to any offer or sale of securities to determine and confirm that all applicable rules and requirements are being followed. Failure to comply with the rules and regulations of the Securities Act can lead to an issuer being subject to civil and criminal penalties and fines and can further create rescission rights for investors in the non-compliant offering. Keep in mind that securities are often governed by both federal and state law, and that each state has their own requirements, all of which should be confirmed prior to proceeding with the offer or sale of any securities.",American Bar Association Business Law Group,1,1,0
